words,commit_message
45,deea9b24a9 Merge pull request #32442 from Twixes/patch-1
56,28d7a685a9 Add missing HCL syntax highlighting in `composition.mdx`
50,ea193d5ce6 don't panic with a null list block value in config
66,0e46d0ad25 Merge pull request #32424 from hashicorp/jbardin/reify-null-blocks
35,d493e998e1 add resource address to log message
14,a6098b67fa fix test state
38,0c1aaba635 fix invalid null blocks during refresh
65,898b0aa78b Merge pull request #32404 from stefansundin/add-missing-apt-repos
66,a4a1f47027 Add missing Ubuntu apt repositories jammy and kinetic to the list.
19,49a0eb5ed8 update CHANGELOG.md
19,5605f20686 update CHANGELOG.md
69,25ac4d33e4 Merge pull request #31633 from brittandeyoung/f-workspace-selectornew
43,8881418c99 Update internal/command/workspace_select.go
87,d60d247e40 Merge pull request #31318 from twittyc/twittyc/terraformWorkspaceInvalidArgsReturnsNon0
42,3cda7a0269 Merge pull request #29520 from ComBin/main
33,76d5e4a9cb add command test for errored plan
30,bb5f360747 always report condition errors
18,5aa088e385 remove -always-out
79,6af6540233 Use the apparentlymart/go-versions library to parse module constraints (#32377)
44,4660dacd59 command: Prototype of handling errored plans
35,6d9ddbacec core: Mark errored plans as errored
53,6611e3a9cd core: Possibly return a partial plan alongside errors
19,a9230c9e75 update CHANGELOG.md
63,404b284911 Merge pull request #31757 from hashicorp/jbardin/terraform-data
52,e206d4e83e fix(unlock): amend force-unlock description (#32363)
13,b2f6813341 typo (#32327)
117,d11aa099cc • return error on task stage failed, canceled or errored • refactor Poll func to pass backoff interval for task stage
79,7d57d59959 Automated equivalence test golden file update for release v1.4.0-alpha20221207.
42,e4e0322d2a Cleanup after v1.4.0-alpha20221207 release
28,cf0cdf680c Release v1.4.0-alpha20221207
29,5c8208df34 build with Go 1.19.4 (#32351)
19,d26e79c0d3 Update CHANGELOG.md
23,9dbaac5975 add accelerate (#32344)
48,6ebc30ddcb Merge pull request #32007 from alloveras/patch-1
27,d0d6501c1f s/trigger/triggers_replace/
27,58e15c7f0e add terraform_data e2e test
35,3b73ed3348 new terraform_data managed resource
19,e0b226a3b8 Update CHANGELOG.md
48,80fddc431e Merge pull request #32295 from xiaozhu36/xiaozhu
116,ec62ca1b70 backend/oss: Ignore the getting oss endpoint error and using string concat instead; Improves the error message level
41,6d9dc22834 chore: Update Digital Team Files (#32322)
69,2325ec716c Update Terraform equivalence tests to remove unneeded input. (#32288)
44,a5add7e361 modify Poll func to pass in backoff interval
126,15288caf64 Code Improvements: - Use tfe consts instead of hardcoded values - fix logic when polling taskStage - remove inaccurate comment
21,5c5b1099c8 refactor runTaskStage
19,07e2d56050 update CHANGELOG.md
